 n	difference	time
           2   9.9566548151130974E-004   1.9999999999998318E-006
           4   9.2255215244918531E-007   0.0000000000000000     
           8   4.1145610030213220E-008   2.0000000000002655E-006
          16   4.1144418538863192E-008   1.9999999999998318E-006
          32   4.1144418538863192E-008   1.9999999999998318E-006
          64   4.1144418538863192E-008   1.9999999999998318E-006
         128   4.1144418538863192E-008   6.0000000000003627E-006
         256   4.1144418538863192E-008   1.0000000000000026E-005
         512   4.1144418538863192E-008   1.3999999999999690E-005
        1024   4.1144418538863192E-008   2.0000000000000052E-005
        2048   4.1144418538863192E-008   3.2000000000000344E-005
        4096   4.1144418538863192E-008   8.6000000000000139E-005
        8192   4.1144418538863192E-008   4.8999999999999998E-005
       16384   4.1144418538863192E-008   9.5000000000000032E-005
       32768   4.1144418538863192E-008   2.0100000000000022E-004
       65536   4.1144418538863192E-008   2.9699999999999996E-004
      131072   4.1144418538863192E-008   6.4300000000000034E-004
      262144   4.1144418538863192E-008   1.2690000000000002E-003
      524288   4.1144418538863192E-008   2.4080000000000004E-003
     1048576   4.1144418538863192E-008   4.7800000000000004E-003
     2097152   4.1144418538863192E-008   9.4780000000000003E-003
     4194304   4.1144418538863192E-008   1.8843000000000002E-002
     8388608   4.1144418538863192E-008   3.7677000000000002E-002
    16777216   4.1144418538863192E-008   7.5358999999999995E-002
