processes n error time
1 2 9.9562426373234203E-004 3.9000000000011248E-005
1 4 8.8140761533850309E-007 3.7999999999996370E-005
1 8 1.1901590823981678E-012 2.5999999999998247E-005
1 16 1.3322676295501878E-015 2.6000000000012125E-005
1 32 1.3322676295501878E-015 2.5999999999998247E-005
1 64 1.3322676295501878E-015 4.3000000000001370E-005
1 128 1.3322676295501878E-015 3.6000000000008248E-005
1 256 1.3322676295501878E-015 3.4999999999993370E-005
1 512 1.3322676295501878E-015 5.2999999999997494E-005
1 1024 1.3322676295501878E-015 5.6000000000000494E-005
1 2048 1.3322676295501878E-015 5.8999999999989616E-005
1 4096 1.3322676295501878E-015 1.0000000000000286E-004
1 8192 1.3322676295501878E-015 1.9399999999999973E-004
1 16384 1.3322676295501878E-015 2.7400000000001035E-004
1 32768 1.3322676295501878E-015 5.6900000000000006E-004
1 65536 1.3322676295501878E-015 1.0530000000000123E-003
1 131072 1.3322676295501878E-015 2.5099999999999983E-003
1 262144 1.3322676295501878E-015 4.0889999999999954E-003
1 524288 1.3322676295501878E-015 6.9610000000000088E-003
1 1048576 1.3322676295501878E-015 1.3009000000000007E-002
1 2097152 1.3322676295501878E-015 2.5728000000000001E-002
1 4194304 1.3322676295501878E-015 5.0779000000000005E-002
1 8388608 1.3322676295501878E-015 0.10196000000000000
1 16777216 1.3322676295501878E-015 0.20346999999999998
2 2 9.9562426373234203E-004 1.2600000000000111E-004
2 4 8.8140761533850309E-007 1.1700000000000599E-004
2 8 1.1906031716080179E-012 1.0899999999999799E-004
2 16 8.8817841970012523E-016 1.2199999999999711E-004
2 32 1.3322676295501878E-015 1.8399999999998973E-004
2 64 1.3322676295501878E-015 1.4799999999999536E-004
2 128 1.3322676295501878E-015 2.1799999999999597E-004
2 256 1.3322676295501878E-015 1.5500000000000236E-004
2 512 1.3322676295501878E-015 1.3900000000000023E-004
2 1024 1.3322676295501878E-015 1.6899999999998860E-004
2 2048 1.3322676295501878E-015 2.1699999999999497E-004
2 4096 1.3322676295501878E-015 8.3109999999999989E-003
2 8192 1.3322676295501878E-015 8.4089999999999998E-003
2 16384 1.3322676295501878E-015 8.4959999999999897E-003
2 32768 1.3322676295501878E-015 8.6900000000000033E-003
2 65536 1.3322676295501878E-015 9.2750000000000055E-003
2 131072 1.3322676295501878E-015 1.0234000000000007E-002
2 262144 1.3322676295501878E-015 1.1984000000000009E-002
2 524288 1.3322676295501878E-015 1.4754000000000003E-002
2 1048576 1.3322676295501878E-015 2.0844000000000001E-002
2 2097152 1.3322676295501878E-015 3.1835000000000002E-002
2 4194304 1.3322676295501878E-015 5.6725999999999999E-002
2 8388608 1.3322676295501878E-015 0.10390800000000000
2 16777216 1.3322676295501878E-015 0.19001299999999999
4 4 8.8140761533850309E-007 1.4599999999999336E-004
4 8 1.1906031716080179E-012 3.1399999999999484E-004
4 16 4.4408920985006262E-016 2.8099999999998959E-004
4 32 8.8817841970012523E-016 1.8500000000000461E-004
4 64 1.3322676295501878E-015 2.0699999999999885E-004
4 128 1.3322676295501878E-015 2.0199999999999385E-004
4 256 1.3322676295501878E-015 2.3099999999999510E-004
4 512 1.3322676295501878E-015 1.8800000000000761E-004
4 1024 1.3322676295501878E-015 1.9399999999999973E-004
4 2048 1.3322676295501878E-015 2.3099999999999510E-004
4 4096 1.3322676295501878E-015 2.5500000000000522E-004
4 8192 1.3322676295501878E-015 9.3600000000000627E-004
4 16384 1.3322676295501878E-015 1.0389999999999983E-003
4 32768 1.3322676295501878E-015 1.2920000000000015E-003
4 65536 1.3322676295501878E-015 1.7500000000000016E-003
4 131072 1.3322676295501878E-015 2.7370000000000033E-003
4 262144 1.3322676295501878E-015 4.5820000000000027E-003
4 524288 1.3322676295501878E-015 7.7409999999999979E-003
4 1048576 1.3322676295501878E-015 1.3924999999999993E-002
4 2097152 1.3322676295501878E-015 2.4225999999999998E-002
4 4194304 1.3322676295501878E-015 4.7031000000000003E-002
4 8388608 1.3322676295501878E-015 9.1473999999999986E-002
4 16777216 1.3322676295501878E-015 0.18435000000000001
8 8 1.1906031716080179E-012 2.1800000000000985E-004
8 16 4.4408920985006262E-016 2.1399999999999197E-004
8 32 4.4408920985006262E-016 2.2600000000000398E-004
8 64 8.8817841970012523E-016 2.6600000000000235E-004
8 128 1.3322676295501878E-015 2.8499999999999359E-004
8 256 1.3322676295501878E-015 3.0800000000000272E-004
8 512 1.3322676295501878E-015 3.5500000000000809E-004
8 1024 1.3322676295501878E-015 3.1600000000001072E-004
8 2048 1.3322676295501878E-015 3.3000000000001084E-004
8 4096 1.3322676295501878E-015 3.2800000000000884E-004
8 8192 1.3322676295501878E-015 4.1200000000000958E-004
8 16384 1.3322676295501878E-015 1.5089999999999965E-003
8 32768 1.3322676295501878E-015 1.8780000000000047E-003
8 65536 1.3322676295501878E-015 2.3680000000000090E-003
8 131072 1.3322676295501878E-015 3.4340000000000065E-003
8 262144 1.3322676295501878E-015 5.2800000000000069E-003
8 524288 1.3322676295501878E-015 8.6080000000000045E-003
8 1048576 1.3322676295501878E-015 1.5043000000000001E-002
8 2097152 1.3322676295501878E-015 2.7687999999999990E-002
8 4194304 1.3322676295501878E-015 5.1030999999999979E-002
8 8388608 1.3322676295501878E-015 9.5472999999999988E-002
8 16777216 1.3322676295501878E-015 0.18469000000000002
