 processes	n	difference	time
           1           2   9.9562426373278612E-004   2.0000000000000052E-005
           1           4   8.8140761578259230E-007   1.9999999999998318E-006
           1           8   1.1906031716080179E-012   2.0000000000002655E-006
           1          16   8.8817841970012523E-016   1.9999999999998318E-006
           1          32   8.8817841970012523E-016   2.0000000000002655E-006
           1          64   8.8817841970012523E-016   5.9999999999999290E-006
           1         128   8.8817841970012523E-016   1.0000000000000026E-005
           1         256   8.8817841970012523E-016   2.1999999999999884E-005
           1         512   8.8817841970012523E-016   6.4000000000000255E-005
           1        1024   8.8817841970012523E-016   1.0800000000000002E-004
           1        2048   8.8817841970012523E-016   1.5999999999999999E-004
           1        4096   8.8817841970012523E-016   3.3000000000000000E-004
           1        8192   8.8817841970012523E-016   7.9199999999999974E-004
           1       16384   8.8817841970012523E-016   1.6080000000000001E-003
           1       32768   8.8817841970012523E-016   3.1790000000000004E-003
           1       65536   8.8817841970012523E-016   6.3009999999999993E-003
           1      131072   8.8817841970012523E-016   1.2499999999999999E-002
           1      262144   8.8817841970012523E-016   2.6013999999999995E-002
           1      524288   8.8817841970012523E-016   5.3987000000000000E-002
           1     1048576   8.8817841970012523E-016  0.11205200000000000     
           1     2097152   8.8817841970012523E-016  0.23077099999999998     
           1     4194304   8.8817841970012523E-016  0.47529099999999991     
           1     8388608   8.8817841970012523E-016  0.97732699999999995     
           1    16777216   8.8817841970012523E-016   2.0024669999999998     
           2           2   9.9562426373278612E-004   2.8699999999970416E-004
           2           4   8.8140761578259230E-007   1.0000000000065512E-005
           2           8   1.1910472608178679E-012   7.9999999997859561E-006
           2          16   4.4408920985006262E-016   8.9999999999257341E-006
           2          32   8.8817841970012523E-016   1.0000000000065512E-005
           2          64   8.8817841970012523E-016   1.6000000000016001E-005
           2         128   8.8817841970012523E-016   2.9000000000056758E-005
           2         256   8.8817841970012523E-016   6.2000000000228539E-005
           2         512   8.8817841970012523E-016   1.0600000000016152E-004
           2        1024   8.8817841970012523E-016   8.6000000000030496E-005
           2        2048   8.8817841970012523E-016   1.7600000000017602E-004
           2        4096   8.8817841970012523E-016   3.5799999999985843E-004
           2        8192   8.8817841970012523E-016   7.3899999999982313E-004
           2       16384   8.8817841970012523E-016   1.4959999999999418E-003
           2       32768   8.8817841970012523E-016   3.0069999999997599E-003
           2       65536   8.8817841970012523E-016   6.2829999999998165E-003
           2      131072   8.8817841970012523E-016   1.2983999999999885E-002
           2      262144   8.8817841970012523E-016   2.6810000000000223E-002
           2      524288   8.8817841970012523E-016   5.5556000000000161E-002
           2     1048576   8.8817841970012523E-016  0.11408599999999947     
           2     2097152   8.8817841970012523E-016  0.23220500000000044     
           2     4194304   8.8817841970012523E-016  0.47754199999999969     
           2     8388608   8.8817841970012523E-016  0.97994200000000031     
           2    16777216   8.8817841970012523E-016   2.0065070000000000     
           3           2   9.9562426373278612E-004   2.5000000000030553E-004
           3           4   8.8140761578259230E-007   1.3000000000040757E-005
           3           8   1.1910472608178679E-012   1.0999999999761201E-005
           3          16   0.0000000000000000        1.1999999999900979E-005
           3          32   8.8817841970012523E-016   1.3000000000040757E-005
           3          64   8.8817841970012523E-016   1.7999999999851468E-005
           3         128   8.8817841970012523E-016   5.4999999999694182E-005
           3         256   8.8817841970012523E-016   6.7999999999734939E-005
           3         512   8.8817841970012523E-016   5.4999999999694182E-005
           3        1024   8.8817841970012523E-016   1.6100000000029979E-004
           3        2048   8.8817841970012523E-016   2.2300000000008424E-004
           3        4096   8.8817841970012523E-016   5.1799999999957436E-004
           3        8192   8.8817841970012523E-016   7.1500000000046526E-004
           3       16384   8.8817841970012523E-016   1.4890000000002956E-003
           3       32768   8.8817841970012523E-016   3.0349999999996768E-003
           3       65536   8.8817841970012523E-016   6.2280000000001223E-003
           3      131072   8.8817841970012523E-016   1.2936999999999976E-002
           3      262144   8.8817841970012523E-016   2.6860000000000106E-002
           3      524288   8.8817841970012523E-016   5.5699000000000609E-002
           3     1048576   8.8817841970012523E-016  0.11462099999999964     
           3     2097152   8.8817841970012523E-016  0.23408599999999957     
           3     4194304   8.8817841970012523E-016  0.48082899999999995     
           3     8388608   8.8817841970012523E-016  0.98051599999999972     
           3    16777216   8.8817841970012523E-016   2.0127030000000001     
           4           2   9.9562426373278612E-004   2.3000000000017451E-004
           4           4   8.8140761578259230E-007   1.8999999999991246E-005
           4           8   1.1910472608178679E-012   2.2999999998774001E-005
           4          16   0.0000000000000000        1.7999999998963290E-005
           4          32   4.4408920985006262E-016   1.6999999999711690E-005
           4          64   8.8817841970012523E-016   2.1999999999522402E-005
           4         128   8.8817841970012523E-016   2.1000000000270802E-005
           4         256   8.8817841970012523E-016   3.5000000000451337E-005
           4         512   8.8817841970012523E-016   2.2300000000008424E-004
           4        1024   8.8817841970012523E-016   1.0300000000107445E-004
           4        2048   8.8817841970012523E-016   1.8799999999963291E-004
           4        4096   8.8817841970012523E-016   3.7500000000001421E-004
           4        8192   8.8817841970012523E-016   7.9000000000029047E-004
           4       16384   8.8817841970012523E-016   1.4789999999997860E-003
