processes n error time
1 2 9.9562426373234203E-004 5.7351018767803907E-005
1 4 8.8140761533850309E-007 4.4765998609364033E-005
1 8 1.1901590823981678E-012 5.9343001339584589E-005
1 16 1.3322676295501878E-015 4.5743014197796583E-005
1 32 1.3322676295501878E-015 6.5367028582841158E-005
1 64 1.3322676295501878E-015 7.7128992415964603E-005
1 128 1.3322676295501878E-015 5.7656026910990477E-005
1 256 1.3322676295501878E-015 7.6066993642598391E-005
1 512 1.3322676295501878E-015 1.1002901010215282E-004
1 1024 1.3322676295501878E-015 2.0267697982490063E-004
1 2048 1.3322676295501878E-015 2.8309901244938374E-004
1 4096 1.3322676295501878E-015 4.8334698658436537E-004
1 8192 1.3322676295501878E-015 8.9656701311469078E-004
1 16384 1.3322676295501878E-015 1.7958189710043371E-003
1 32768 1.3322676295501878E-015 3.5520340315997601E-003
1 65536 1.3322676295501878E-015 6.8081890349276364E-003
1 131072 1.3322676295501878E-015 1.4121576969046146E-002
1 262144 1.3322676295501878E-015 2.9257034009788185E-002
1 524288 1.3322676295501878E-015 6.0287654981948435E-002
1 1048576 1.3322676295501878E-015 0.12071422999724746
1 2097152 1.3322676295501878E-015 0.25040295399958268
1 4194304 1.3322676295501878E-015 0.51040667295455933
1 8388608 1.3322676295501878E-015 1.0483369390130974
1 16777216 1.3322676295501878E-015 2.1361820249585435
2 2 9.9562426373234203E-004 1.7475901404395700E-004
2 4 8.8140761533850309E-007 1.3601494720205665E-004
2 8 1.1906031716080179E-012 1.7101503908634186E-004
2 16 8.8817841970012523E-016 1.4504499267786741E-004
2 32 1.3322676295501878E-015 2.2079597692936659E-004
2 64 1.3322676295501878E-015 1.8992496188730001E-004
2 128 1.3322676295501878E-015 2.2367096971720457E-004
2 256 1.3322676295501878E-015 1.9508105469867587E-004
2 512 1.3322676295501878E-015 2.3816101020202041E-004
2 1024 1.3322676295501878E-015 3.2476900378242135E-004
2 2048 1.3322676295501878E-015 3.9181299507617950E-004
2 4096 1.3322676295501878E-015 8.6810860084369779E-003
2 8192 1.3322676295501878E-015 9.1975690447725356E-003
2 16384 1.3322676295501878E-015 2.0099009852856398E-003
2 32768 1.3322676295501878E-015 4.9502170295454562E-003
2 65536 1.3322676295501878E-015 1.5066432999446988E-002
2 131072 1.3322676295501878E-015 2.3245710995979607E-002
2 262144 1.3322676295501878E-015 3.7552926980424672E-002
2 524288 1.3322676295501878E-015 6.7781990976072848E-002
2 1048576 1.3322676295501878E-015 0.12923969002440572
2 2097152 1.3322676295501878E-015 0.25555352895753458
2 4194304 1.3322676295501878E-015 0.51609902898781002
2 8388608 1.3322676295501878E-015 1.0464746769866906
2 16777216 1.3322676295501878E-015 2.1357031319639646
4 4 8.8140761533850309E-007 9.8302600090391934E-003
4 8 1.1906031716080179E-012 9.8916949937120080E-003
4 16 4.4408920985006262E-016 1.1437578999903053E-002
4 32 8.8817841970012523E-016 1.1927846004255116E-002
4 64 0.0000000000000000 9.5439639990217984E-003
4 128 4.4408920985006262E-016 9.4437479856424034E-003
4 256 8.8817841970012523E-016 9.6836760058067739E-003
4 512 1.3322676295501878E-015 1.1325949977617711E-002
4 1024 1.3322676295501878E-015 1.1383795994333923E-002
4 2048 1.3322676295501878E-015 9.5789579791016877E-003
4 4096 1.3322676295501878E-015 9.5909480005502701E-003
4 8192 1.3322676295501878E-015 9.6864240476861596E-003
4 16384 1.3322676295501878E-015 1.2433755036909133E-002
4 32768 1.3322676295501878E-015 1.2256341986358166E-002
4 65536 1.3322676295501878E-015 1.2909898010548204E-002
4 131072 1.3322676295501878E-015 1.4791776018682867E-002
4 262144 1.3322676295501878E-015 1.7522701004054397E-002
4 524288 1.3322676295501878E-015 2.6769298012368381E-002
4 1048576 1.3322676295501878E-015 3.7906314013525844E-002
4 2097152 1.3322676295501878E-015 6.0841484984848648E-002
4 4194304 1.3322676295501878E-015 0.11419342696899548
4 8388608 1.3322676295501878E-015 0.21354035905096680
4 16777216 1.3322676295501878E-015 0.42922195297433063
8 8 1.1906031716080179E-012 2.1022695989813656E-002
8 16 4.4408920985006262E-016 2.2810483002103865E-002
8 32 4.4408920985006262E-016 2.4015141010750085E-002
8 64 8.8817841970012523E-016 2.4918138980865479E-002
8 128 4.4408920985006262E-016 1.9709829997736961E-002
8 256 4.4408920985006262E-016 2.4093621992506087E-002
8 512 8.8817841970012523E-016 2.6594927010592073E-002
8 1024 1.3322676295501878E-015 2.1191698964685202E-002
8 2048 1.3322676295501878E-015 2.3884449969045818E-002
8 4096 1.3322676295501878E-015 2.1430109045468271E-002
8 8192 1.3322676295501878E-015 2.3807347984984517E-002
8 16384 1.3322676295501878E-015 2.4534323019906878E-002
8 32768 1.3322676295501878E-015 2.2600861033424735E-002
8 65536 1.3322676295501878E-015 2.6731290970928967E-002
8 131072 1.3322676295501878E-015 2.4345491023268551E-002
8 262144 1.3322676295501878E-015 3.1479158962611109E-002
8 524288 1.3322676295501878E-015 4.1364315024111420E-002
8 1048576 1.3322676295501878E-015 5.3906746034044772E-002
8 2097152 1.3322676295501878E-015 7.8469369967933744E-002
8 4194304 1.3322676295501878E-015 0.13450603804085404
8 8388608 1.3322676295501878E-015 0.26652628398733214
8 16777216 1.3322676295501878E-015 0.47097299899905920
