 n	difference	time
           2  0.40297986606396252        1.9999999999998318E-006
           4  0.21897966746476261        1.0000000000001327E-006
           8  0.11429479693195033        0.0000000000000000     
          16   5.8399633250339367E-002   1.0000000000001327E-006
          32   2.9518814978706231E-002   9.9999999999969905E-007
          64   1.4839863800788500E-002   1.0000000000001327E-006
         128   7.4401318182748533E-003   9.9999999999969905E-007
         256   3.7251264541939832E-003   1.0000000000001327E-006
         512   1.8638296735331572E-003   9.9999999999969905E-007
        1024   9.3223161148081601E-004   2.9999999999999645E-006
        2048   4.6619501976286060E-004   4.9999999999997963E-006
        4096   2.3311731592068341E-004   8.0000000000001945E-006
        8192   1.1656360979284131E-004   1.6000000000000389E-005
       16384   5.8283042891904557E-005   3.0000000000000079E-005
       32768   2.9141830953260950E-005   5.9999999999999724E-005
       65536   1.4570992831419716E-005   1.3100000000000004E-004
      131072   7.2855157453588504E-006   1.9200000000000033E-004
      262144   3.6427626963764226E-006   3.8300000000000053E-004
      524288   1.8213825376811599E-006   8.4400000000000013E-004
     1048576   9.1069154795064833E-007   1.6470000000000000E-003
     2097152   4.5534583748008117E-007   3.0909999999999991E-003
     4194304   2.2767298712977890E-007   6.1479999999999990E-003
     8388608   1.1383702203104917E-007   1.2291000000000000E-002
    16777216   5.6922833113759452E-008   2.4554999999999997E-002
