processes n error time
1 2 0.40297986606396252 2.2999999999995246E-005
1 4 0.21897966746476261 2.0999999999993246E-005
1 8 0.11429479693195033 3.5000000000007248E-005
1 16 5.8399633250339367E-002 2.1999999999994246E-005
1 32 2.9518814978706231E-002 2.0999999999993246E-005
1 64 1.4839863800788500E-002 2.0999999999993246E-005
1 128 7.4401318182748533E-003 2.3000000000009124E-005
1 256 3.7251264541939832E-003 5.0000000000008371E-005
1 512 1.8638296735331572E-003 3.0000000000002247E-005
1 1024 9.3223161148081601E-004 3.6000000000008248E-005
1 2048 4.6619501976286060E-004 6.5999999999996617E-005
1 4096 2.3311731592068341E-004 9.6999999999999864E-005
1 8192 1.1656360979284131E-004 1.2900000000000411E-004
1 16384 5.8283042891904557E-005 2.4199999999999222E-004
1 32768 2.9141830953260950E-005 5.0999999999999657E-004
1 65536 1.4570992831419716E-005 9.3600000000000627E-004
1 131072 7.2855157453588504E-006 1.7899999999999999E-003
1 262144 3.6427626963764226E-006 3.4409999999999996E-003
1 524288 1.8213825376811599E-006 6.1400000000000066E-003
1 1048576 9.1069154795064833E-007 1.1259000000000005E-002
1 2097152 4.5534583748008117E-007 2.2138000000000005E-002
1 4194304 2.2767298712977890E-007 4.4332000000000010E-002
1 8388608 1.1383702203104917E-007 8.6890999999999996E-002
1 16777216 5.6922833113759452E-008 0.17295400000000000
2 2 0.40297986606396252 1.0200000000000486E-004
2 4 0.21897966746476261 9.5999999999998864E-005
2 8 0.11429479693195033 8.4000000000000741E-005
2 16 5.8399633250339367E-002 7.8999999999995740E-005
2 32 2.9518814978706231E-002 1.2500000000000011E-004
2 64 1.4839863800788056E-002 1.5099999999999836E-004
2 128 7.4401318182748533E-003 1.9900000000000473E-004
2 256 3.7251264541944273E-003 1.6300000000001036E-004
2 512 1.8638296735336013E-003 1.2700000000000211E-004
2 1024 9.3223161148170419E-004 1.2199999999999711E-004
2 2048 4.6619501976508104E-004 2.0000000000000573E-004
2 4096 2.3311731592645657E-004 2.7900000000000147E-004
2 8192 1.1656360978484770E-004 8.3359999999999962E-003
2 16384 5.8283042892792736E-005 4.8100000000000920E-004
2 32768 2.9141830949708236E-005 6.6199999999999593E-004
2 65536 1.4570992854068265E-005 1.0000000000000009E-003
2 131072 7.2855157493556533E-006 9.7939999999999972E-003
2 262144 3.6427626963764226E-006 1.1467000000000005E-002
2 524288 1.8213825447865872E-006 7.6269999999999949E-003
2 1048576 9.1069155505607569E-007 1.8553000000000000E-002
2 2097152 4.5534582993056461E-007 2.8450999999999990E-002
2 4194304 2.2767292184866506E-007 5.0294999999999992E-002
2 8388608 1.1383651532526073E-007 8.5477999999999985E-002
2 16777216 5.6918782576076410E-008 0.15916700000000000
4 4 0.21897966746476261 3.2000000000000084E-004
4 8 0.11429479693195033 2.6599999999998847E-004
4 16 5.8399633250339367E-002 1.4500000000000624E-004
4 32 2.9518814978706231E-002 2.2500000000000298E-004
4 64 1.4839863800788056E-002 2.0499999999999685E-004
4 128 7.4401318182744092E-003 1.9800000000000373E-004
4 256 3.7251264541939832E-003 2.4100000000000510E-004
4 512 1.8638296735340454E-003 2.3799999999998822E-004
4 1024 9.3223161148214828E-004 2.5000000000000022E-004
4 2048 4.6619501976596922E-004 3.8499999999999646E-004
4 4096 2.3311731592867702E-004 3.3500000000000196E-004
4 8192 1.1656360979062086E-004 7.5999999999999679E-004
4 16384 5.8283042884799130E-005 9.5199999999999452E-004
4 32768 2.9141830950152325E-005 1.1960000000000026E-003
4 65536 1.4570992850071462E-005 1.6219999999999984E-003
4 131072 7.2855157724482922E-006 2.5009999999999893E-003
4 262144 3.6427627003732255E-006 3.9339999999999931E-003
4 524288 1.8213825447865872E-006 6.5719999999999945E-003
4 1048576 9.1069156216150304E-007 1.1575000000000002E-002
4 2097152 4.5534583703599196E-007 2.1062999999999998E-002
4 4194304 2.2767291429914849E-007 3.8490999999999984E-002
4 8388608 1.1383645004414689E-007 7.4321999999999999E-002
4 16777216 5.6918275870287971E-008 0.14483499999999999
8 8 0.11429479693195033 2.2700000000000498E-004
8 16 5.8399633250339367E-002 2.3600000000000010E-004
8 32 2.9518814978706231E-002 2.1799999999999597E-004
8 64 1.4839863800788056E-002 2.7599999999999847E-004
8 128 7.4401318182744092E-003 3.3600000000000296E-004
8 256 3.7251264541935392E-003 2.9500000000000359E-004
8 512 1.8638296735340454E-003 3.2600000000000684E-004
8 1024 9.3223161148214828E-004 2.9499999999998971E-004
8 2048 4.6619501976641331E-004 3.1599999999999684E-004
8 4096 2.3311731593000928E-004 3.1699999999999784E-004
8 8192 1.1656360979284131E-004 3.7300000000001221E-004
8 16384 5.8283042890572290E-005 1.5080000000000093E-003
8 32768 2.9141830941714630E-005 1.8499999999999905E-003
8 65536 1.4570992850959641E-005 2.1459999999999951E-003
8 131072 7.2855157684514893E-006 3.0999999999999917E-003
8 262144 3.6427627230217752E-006 4.6899999999999997E-003
8 524288 1.8213825487833901E-006 7.4880000000000085E-003
8 1048576 9.1069156216150304E-007 1.2648999999999994E-002
8 2097152 4.5534584414141932E-007 2.2919000000000009E-002
8 4194304 2.2767292140457585E-007 4.1857000000000005E-002
8 8388608 1.1383644249463032E-007 7.8866999999999993E-002
8 16777216 5.6918210589174123E-008 0.14982700000000002
