 processes	n	difference	time
           1           2  0.40297995348674265        9.9409953691065311E-006
           1           4  0.21897975403778025        1.1890078894793987E-006
           1           8  0.11429488462964033        6.2602339312434196E-007
           1          16   5.8399721279632111E-002   6.2404433265328407E-007
           1          32   2.9518902989483120E-002   7.0000533014535904E-007
           1          64   1.4839951761061787E-002   7.8399898484349251E-007
           1         128   7.4402198018921339E-003   9.8597956821322441E-007
           1         256   3.7252144350894412E-003   1.3969838619232178E-006
           1         512   1.8639176500148125E-003   2.2210297174751759E-006
           1        1024   9.3231958761696987E-004   3.8639991544187069E-006
           1        2048   4.6628299602735623E-004   7.1550020948052406E-006
           1        4096   2.3320529211190433E-004   1.3739045243710279E-005
           1        8192   1.1665158396167996E-004   2.6908994186669588E-005
           1       16384   5.8371016535385678E-005   7.9559977166354656E-005
           1       32768   2.9229804563879469E-005   1.3676198432222009E-004
           1       65536   1.4658966494440762E-005   2.6343803619965911E-004
           1      131072   7.3734894314725352E-006   3.8104702252894640E-004
           1      262144   3.7307363878191779E-006   8.4841600619256496E-004
           1      524288   1.9093562353411642E-006   1.6319240094162524E-003
           1     1048576   9.9866524072567131E-007   3.1830189982429147E-003
           1     2097152   5.4331953069919336E-007   6.1014640377834439E-003
           1     4194304   3.1564667812844505E-007   1.2197916978038847E-002
           1     8388608   2.0181071169744769E-007   2.4385679978877306E-002
           1    16777216   1.4489652233606876E-007   4.8768685956019908E-002
           2           2  0.40297995348674265        9.1558031272143126E-005
           2           4  0.21897975403778025        3.0680093914270401E-006
           2           8  0.11429488462964033        1.9009457901120186E-006
           2          16   5.8399721279632111E-002   1.9610160961747169E-006
           2          32   2.9518902989483120E-002   1.9489671103656292E-006
           2          64   1.4839951761061787E-002   1.9709696061909199E-006
           2         128   7.4402198018921339E-003   2.3950124159455299E-006
           2         256   3.7252144350894412E-003   2.2339518181979656E-006
           2         512   1.8639176500148125E-003   3.1300005502998829E-006
           2        1024   9.3231958761696987E-004   3.5830307751893997E-006
           2        2048   4.6628299602735623E-004   5.1690149120986462E-006
           2        4096   2.3320529211190433E-004   8.1149628385901451E-006
           2        8192   1.1665158396167996E-004   1.4372984878718853E-005
           2       16384   5.8371016535385678E-005   2.5644025299698114E-005
           2       32768   2.9229804554997685E-005   4.9454974941909313E-005
           2       65536   1.4658966468683587E-005   9.7024021670222282E-005
           2      131072   7.3734894141530560E-006   1.9232800696045160E-004
           2      262144   3.7307363824901074E-006   3.8242596201598644E-004
           2      524288   1.9093562357852534E-006   7.6598196756094694E-004
           2     1048576   9.9866525271607998E-007   1.5287749702110887E-003
           2     2097152   5.4331952270558759E-007   3.0544750043191016E-003
           2     4194304   3.1564661506777725E-007   6.1042649904266000E-003
           2     8388608   2.0181020587983767E-007   1.2208805012051016E-002
           2    16777216   1.4489247179838571E-007   2.4415154999587685E-002
           3           2  0.40297995348674265        5.0603994168341160E-005
           3           4  0.21897975403778025        2.3180036805570126E-006
           3           8  0.11429488462964033        2.5299959816038609E-006
           3          16   5.8399721279632111E-002   2.4819746613502502E-006
           3          32   2.9518902989483120E-002   2.6220222935080528E-006
           3          64   1.4839951761061787E-002   3.3579999580979347E-006
           3         128   7.4402198018921339E-003   2.7499627321958542E-006
           3         256   3.7252144350894412E-003   2.4290056899189949E-006
           3         512   1.8639176500148125E-003   3.0429800972342491E-006
           3        1024   9.3231958761696987E-004   3.5839620977640152E-006
           3        2048   4.6628299602735623E-004   5.0879898481070995E-006
           3        4096   2.3320529211190433E-004   6.3999905250966549E-006
           3        8192   1.1665158396167996E-004   1.0608055163174868E-005
           3       16384   5.8371016535385678E-005   1.8811027985066175E-005
           3       32768   2.9229804554997685E-005   3.5729026421904564E-005
           3       65536   1.4658966460245892E-005   1.0384403867647052E-004
           3      131072   7.3734894012744689E-006   1.7225497867912054E-004
